Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $),Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",Fossil fuel energy consumption (% of total) ,Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
Cyprus,2021,30372874320.0,11.38776336,33734.29297,100.0,100.0,100.0,100.0,3716.66784330783,44.6115472185408,735675.0,32.0868949890137,82.9875640869141,86.3962631225586,45.0436592102051,40.224536895752,96.096794128418,97.9654235839844,31.5051383972168,86.87,95.3121101672452,4.2117025800263,2.44608867175474
Cyprus,2022,30976176887.0,7.365622524,33938.94531,100.0,100.0,100.0,100.0,3848.66716239663,45.1110155759119,755975.0,33.120246887207,84.1147155761719,87.7553024291992,45.5157012939453,41.2710800170898,96.4546127319336,98.4479675292969,33.2054138183594,86.5,96.7805004677601,3.27726419684437,8.39548297993334
Cyprus,2023,33886930712.0,2.611900909,36551.41797,,100.0,100.0,100.0,,45.8560199111408,766606.0,,,,,,,,,,98.7492688654103,2.94038103251397,3.54134188751663
Czechia,2021,290973000000.0,4.029018306,27696.46195,100.0,100.0,100.0,100.0,6690.60779160256,44.2875704230524,5242069.0,22.1672801971436,99.86962890625,99.8209838867188,60.0756683349609,53.9228401184082,99.8981781005859,99.8424377441406,23.4922466278076,70.25,96.2780260171804,2.31247683033459,3.83984491500146
Czechia,2022,301831000000.0,2.847170657,28282.22367,100.0,100.0,100.0,100.0,6362.84194009099,44.5102091513833,5369986.0,20.9231128692627,98.9953002929688,99.3919219970703,23.555025100708,22.094482421875,99.0271682739258,99.4170913696289,21.0210075378418,70.25,99.1926378237789,3.39431675553378,15.1001651468371
Czechia,2023,343208000000.0,-0.085330276,31591.17707,,100.0,100.0,100.0,5987.64253672804,44.961420801193,5536144.0,,,,,,,,,67.78,95.0054190052001,,10.6612601372426
Denmark,2021,408378000000.0,7.38206629,69727.98737,100.0,100.0,100.0,100.0,6160.08959261076,46.926476353051,3079023.0,28.028263092041,90.3643493652344,92.3938293457031,40.9418563842773,33.0449676513672,98.4768218994141,99.3467864990234,36.720703125,53.53,93.7631958881996,1.00067624992885,1.8530454398968
Denmark,2022,401946000000.0,1.540173107,68091.31911,100.0,100.0,100.0,100.0,5870.02927476145,47.422413469915,3147518.0,27.4220237731934,90.9987258911133,92.4892196655273,42.1445960998535,32.6030693054199,98.5132064819336,99.3477935791016,37.8423385620117,54.36,90.4462114493322,1.64048292956573,7.6965669988926
Denmark,2023,407092000000.0,2.495184331,68453.87693,,100.0,100.0,100.0,5929.08770745081,47.4749172110428,3189737.0,,,,,,,,,50.01,91.849280677718,1.20740375161758,3.30517811237606
Dominican Republic,2021,94243425938.0,12.27199023,8472.47982,92.4,98.1,94.8,98.8,1714.48205578904,40.977308174364,5099149.0,9.1821174621582,67.5100021362305,64.2300033569336,16.3688220977783,9.32167625427246,74.7699966430664,73.6900024414062,16.2368927001953,88.12,109.229462908226,18.9576345146679,8.24300347981809
