Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Cyprus,CYP,2021,YR2021,48.84553196,6.9042,5.241139323,15.6,100,100,1725.1
Cyprus,CYP,2022,YR2022,54.90568072,7.1853,5.396921968,..,100,100,1724.9
Cyprus,CYP,2023,YR2023,54.86256333,7.1833,5.340838796,..,..,..,..
Czechia,CZE,2021,YR2021,-40.08888647,99.1481,9.437488268,17.2,100,100,26789
Czechia,CZE,2022,YR2022,-39.91703526,99.4325,9.317035288,..,100,100,26807.1
Czechia,CZE,2023,YR2023,-45.30684263,90.5128,8.33141109,..,..,..,..
Denmark,DNK,2021,YR2021,-43.9287758,29.3959,5.019163414,39.5,100,100,6293.8
Denmark,DNK,2022,YR2022,-46.32148171,28.1415,4.767291819,..,100,100,6303.2
Denmark,DNK,2023,YR2023,-48.93201846,26.7729,4.50195327,..,..,..,..
Djibouti,DJI,2021,YR2021,-18.53678586,0.7928,0.707069266,26.6,36.6,73.5,58.733
Djibouti,DJI,2022,YR2022,-23.08877928,0.7485,0.658255767,26.9,36.6,72.8,59.644
Djibouti,DJI,2023,YR2023,-23.01685162,0.7492,0.649814735,..,..,..,..
Dominica,DMA,2021,YR2021,254.4600939,0.0755,1.123478468,8.8,100,100,478.7
Dominica,DMA,2022,YR2022,255.8685446,0.0758,1.134289049,8.9,100,100,478.7
Dominica,DMA,2023,YR2023,275.1173709,0.0799,1.201323109,..,..,..,..
Dominican Republic,DOM,2021,YR2021,268.6661944,29.6662,2.666990067,14.8,94.8,98.8,21521.9
Dominican Republic,DOM,2022,YR2022,268.3927972,29.6442,2.639560335,..,95,98.8,21602.8
Dominican Republic,DOM,2023,YR2023,289.6009643,31.3508,2.766751991,..,..,..,..
Ecuador,ECU,2021,YR2021,127.2380811,39.8896,2.255885976,18.9,100,100,124335.6
Ecuador,ECU,2022,YR2022,140.7426185,42.2602,2.370985425,..,100,100,123692.9
Ecuador,ECU,2023,YR2023,158.220017,45.3282,2.521022845,..,..,..,..
"Egypt, Arab Rep.",EGY,2021,YR2021,172.933381,249.7365,2.250750128,6.1,100,100,449.8
"Egypt, Arab Rep.",EGY,2022,YR2022,170.1183267,247.1607,2.19467715,..,100,100,449.8
"Egypt, Arab Rep.",EGY,2023,YR2023,172.4911995,249.3319,2.176891076,..,..,..,..
El Salvador,SLV,2021,YR2021,190.4512148,7.5314,1.203910239,21.9,94.1,99.2,5793.8
El Salvador,SLV,2022,YR2022,205.3605862,7.918,1.260763983,..,100,100,5748.8
El Salvador,SLV,2023,YR2023,223.1623602,8.3796,1.328066458,..,..,..,..
Equatorial Guinea,GNQ,2021,YR2021,6029.676512,4.3582,2.477959229,5.2,1.4,90.3,24400.6
Equatorial Guinea,GNQ,2022,YR2022,5752.601969,4.1612,2.307233809,4.2,1.4,89.8,24317
Equatorial Guinea,GNQ,2023,YR2023,5211.954993,3.7768,2.044221831,..,..,..,..
Eritrea,ERI,2021,YR2021,116.3426488,0.7122,0.212585402,80.7,35.7,75.7,10521
Eritrea,ERI,2022,YR2022,102.7339004,0.6674,0.19575022,..,36,75.5,10489.4
