Country,Time,Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),Access to electricity (% of population),Gross national expenditure (% of GDP),Interest payments (% of revenue),GDP (Current $),GDP Growth (Yrly %),"Inflation, consumer prices (annual %)"
"Congo, Dem. Rep.",2021,2.86,133.667602188594,20.8,99.7096522903166,0.557011168639761,55328482784.0,6.200154011,113.84638691295845
"Congo, Dem. Rep.",2022,3.97,130.667931495784,21.5,102.73276735231,0.514036894677786,65801547620.0,8.924447626,113.84638691295845
"Congo, Dem. Rep.",2023,82.72999999999999,5073.923909769635,22.1,102.769285406614,2.9838846383393403,66383287003.0,8.560862509,113.84638691295845
Costa Rica,2021,50.17,2111.26982909841,100.0,98.4289282487777,16.0641742418659,64960725734.0,7.935762247,1.72647755109241
Costa Rica,2022,50.71,2125.2458545407,100.0,97.4171403066588,15.2927261286011,69243626029.0,4.55149178,8.27477490232654
Costa Rica,2023,51.55,2067.75992674603,100.0,94.6407350098788,15.8726448263341,86497941439.0,5.111921832,0.525193508693455
Cote d'Ivoire,2021,35.9,308.099910201629,71.1,100.521497102363,14.8113398704174,72794636654.0,7.063329102,4.09195189692863
Cote d'Ivoire,2022,37.58,323.704535370651,72.0,104.377934441899,17.4439105528207,70173140101.0,6.217850913,5.27616724262846
Cote d'Ivoire,2023,66.39,7916.00260756483,72.4,103.534001642215,18.0465156613231,78875489245.0,6.2,4.38711707003279
Croatia,2021,66.42,4506.59593331341,100.0,102.749020069014,4.45653656154736,69006802299.0,12.63170033,2.55450699642041
Croatia,2022,67.97,4475.52041281852,100.0,106.219914563597,3.84002783469285,71198635102.0,7.287936432,10.7805806758686
Croatia,2023,69.94,8706.68710837352,100.0,101.832600858672,4.19525733263229,84393795502.0,3.302544881,7.9412817758683
Cyprus,2021,86.87,3716.66784330783,100.0,95.3121101672452,4.2117025800263,30372874320.0,11.38776336,2.44608867175474
Cyprus,2022,86.5,3848.66716239663,100.0,96.7805004677601,3.27726419684437,30976176887.0,7.365622524,8.39548297993334
Cyprus,2023,32.895,25596.3632029491,100.0,98.7492688654103,2.94038103251397,33886930712.0,2.611900909,3.54134188751663
Czechia,2021,70.25,6690.60779160256,100.0,96.2780260171804,2.31247683033459,290973000000.0,4.029018306,3.83984491500146
Czechia,2022,70.25,6362.84194009099,100.0,99.1926378237789,3.39431675553378,301831000000.0,2.847170657,15.1001651468371
